Company Name,Address,City,State,Contact Person,Phone No,Mob No,Service Detail,Supplier or Booking,LCV or HCV,Email Id,Website,Vehicle Type,Segment
Agarwal Transport Corporation,"7530, Tel Mill, Ram Nagar, Paharganj, New Delhi - 55",Delhi,Delhi,Pandey,011 - 6*644466,"9971166*77 ,  9**0017*2*","Full Load Booking Special For Mumbai, Calcutta, Kanpur, Varanasi, All Over India",Booking,"HCV, LCV",,,ODC Cargo,All Type Material
Aggarwal Carrying Corporation,"8314/5, Kohli Complex, Multani Dhaba, Paharganj, New Delhi -55",Delhi,Delhi,Sandeep Agarwal,011 - 2**2*670,"9*11*60104,  99990***6*",Full Load Booking For All Over India,Booking,"HCV, LCV",,,,
Aggarwal Carrying Corporation,"Shop No-18, Gali No-1, Bhalswa, New Delhi",Delhi,Delhi,Krishna,"011 - 2*910106 ,  2*266994",9*124*7*27,"Khanna Market, Booking , Daily Parcel Service: Delhi, Agra, Kanpur, Lucknow, Varansi",Booking,"HCV, LCV",,,,
Aggarwal Goods Carrier,"841, S.P. Mukherjee Marg, Behind Cloth Market, Delhi-6",Delhi,Delhi,S.K. Aggarwal,011 - 2*9*6*02,9*11406460,"Parcel & Full Load Services For Delhi, Panipat",Supplier,LCV,,,"10 Wheeler,  6 Wheleers",Cloth Materials
Aggarwal Goods Forwarding Agency (Regd.) / Goods Transport Agency (Regd.),"215, Chandu Compound, Near Mahavir Dharam Kanta, Chikamberpur, Ghaziabad",Delhi,Delhi,R.S. Khushik,0120 - 2627227,9*6*7**2*7,All Over U.P.,Booking,"HCV, LCV",,,"1109,  407 Ton",Parcel Services
Aggarwal Relocation Pvt. Ltd.,"L-242, 1st Floor, Street No.9, Rangpuri Road, Mahipalpur, New Delhi -37",Delhi,Delhi,D.K. Aggarwal,"011 - 267**6*0,  267**4**","9*99990914,  9*1***74*4",Service For All Over India,Booking,"HCV, LCV",,www.agarwalrelocation.co.in,"Tempo,  Container,  10 Wheeler","House Hold Goods,  Commercial Product"
Aggarwal Tempo Transport Service,"WZ-101/51, Janakpuri, D-Block, Mohan Nagar, Pankha Road, New Delhi",Delhi,Delhi,"Sanjay Bansal, Ajay Bansal",,"9*122271*6 ,  9*10*41464","U.P., Punjab, Haryana, Chandigarh, Raj., M.P. & All Over India",Supplier,LCV,*t*_*gg*rw*l@y*hoo.com,,"1109,  407 Ton",Industrial Goods
Aggarwal Transport Roadways(lndia ),"Shop No- X / 25, Loha Mandi, Narayan, New Delhi",Delhi,Delhi,Rajesh Goel,011 - 2*7009*2,"92120*09*2 ,  9*102*09*2","Haryana, Rajasthan, Gujarat, U.P., M.P.,& Maharashtra, Calcutta, Karnataka All Over India",Booking,"HCV, LCV",,,"Trailer,  Container,  10 Wheeler,  12 Wheeler","Steel,  Container Parts"
AGL Transport Pvt. Ltd.,"56/A, Dilashad Garden, Near Telephone Exchange, Shahadhra, Delhi - 95",Delhi,Delhi,Suraj Singh,"011 - *2*79629,  2212*2*2",9**022264*,Daily Parcel Booking For Delhi To Chennai,Booking,HCV,,,Container,Pepar
A.G.R. Logistics,"B -126, Kiran Garden , Main Market , Uttam Nagar, Delhi",Delhi,Delhi,Vinay Kumar Singh,011 - *290092*,"9*1102092* ,  9*1112092*",All Over India,Booking,"HCV, LCV",*grlogi*tic*@y*hoo.in,,"Tempo,  Trailer,  10 Wheeler,  12 Wheeler",Industrial Goods
Agra Aligarh Goods Carriers / Delhi U.P. Uttranchal Roadlines,"AW - 520, Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,Radhey Singh Bhati,011 - *2049*17,"9**0*69*17 ,  9*10*69*17 ,  9*10669*17","Full Load Booking For Delhi To Ghaziabad, Dadri, Khurja, Aligarh, Kosi, Mathura & All Over Uttranchal",Booking,HCV,,,"Trailer,  Container,  10 Wheeler",Industrial Goods
Agra Gwalior Road Carriers,"AW- 101, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,"Rameshwar, Shanker","011 - 27***4*4 ,  27**2*60 ,  42*6*0**","9*10*17*26 ,  9*129*4616","Truck Supplier For Agra, Gwalior, Shivpuri, M.P., Indore & All India",Booking,"HCV, LCV",,,,
Agra Kosi Haryana Road Carrier,"Aw-119, 1st Floor, Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,sher,"011 - 27**177* ,  27****64",9*11*1*4*6,Full Truck Available For Delhi To Agra (Supplier),Supplier,"HCV, LCV",,,"10 Wheeler,  6 Wheelers","Food,  Parcel Services"
